personid,deviceid,zoneid,gymid,exittime
109,201,4,49,2024-10-10 15:09:20
385,599,1,197,2024-05-25 14:22:47
354,405,2,361,2024-07-30 14:59:50
569,1281,9,284,2024-07-09 05:53:35
371,323,8,386,2025-02-15 12:40:26
64,1329,7,382,2024-10-08 12:29:11
332,286,1,16,2025-01-08 21:40:30
492,763,8,287,2025-02-22 20:51:22
537,839,10,41,2024-12-16 15:40:01
713,311,5,339,2024-04-21 14:24:21
17,1256,8,23,2024-10-29 05:44:55
441,1325,3,142,2024-04-03 06:54:12
672,1273,5,164,2024-07-25 13:50:44
799,72,8,394,2024-10-09 11:09:23
91,667,8,271,2024-04-05 02:43:37
553,266,3,253,2024-12-30 23:19:35
27,1444,3,43,2024-10-30 12:07:47
99,462,9,60,2025-01-16 18:02:18
70,1459,2,216,2025-01-17 18:32:56
210,1435,5,146,2024-11-16 10:21:44
569,93,5,340,2025-03-06 08:44:48
704,895,7,96,2024-07-01 23:59:00
285,1074,9,170,2025-01-08 04:36:52
155,534,5,312,2024-04-03 05:12:58
125,933,9,117,2024-05-11 01:49:35
475,286,1,16,2024-09-04 08:35:43
134,72,8,394,2024-11-01 10:15:35
604,1332,6,348,2024-09-11 06:11:47
58,1459,2,216,2025-01-30 18:12:02
51,443,4,288,2024-12-27 09:49:19
92,535,5,312,2024-11-02 14:48:25
44,856,2,206,2024-09-25 12:58:02
547,1061,9,122,2024-04-22 14:59:55
235,916,7,371,2024-07-21 09:31:16
162,685,4,238,2024-05-23 18:19:57
83,1345,3,337,2024-06-01 03:56:54
427,18,8,194,2024-04-09 09:30:10
620,1245,3,98,2024-08-02 13:31:44
266,801,7,375,2024-11-04 01:10:12
81,1165,7,391,2025-01-03 14:17:21
353,1411,8,377,2024-12-28 11:40:43
13,859,3,178,2024-11-15 21:53:31
736,845,3,257,2025-01-21 14:57:25
490,657,8,157,2025-02-06 07:49:17
689,254,7,165,2024-06-20 08:20:18
223,137,2,32,2024-04-04 09:02:20
334,434,10,329,2025-02-16 07:14:04
263,74,6,32,2024-07-04 02:31:15
257,1043,9,299,2024-11-27 22:48:01
127,475,5,144,2024-07-17 06:24:09
629,1002,9,266,2025-03-21 20:03:25
666,407,2,361,2024-11-07 22:14:56
231,12,4,284,2024-10-11 17:30:37
127,1097,4,86,2024-07-11 11:30:52
683,313,6,155,2024-08-14 13:58:12
629,114,7,144,2025-02-05 04:03:56
127,1303,2,87,2024-07-26 14:14:37
789,1180,8,388,2024-09-19 15:01:53
651,301,9,209,2024-06-17 21:32:31
175,1438,1,184,2025-02-28 23:59:00
208,158,3,211,2025-02-17 15:44:58
783,89,5,44,2024-10-23 23:59:00
137,125,10,166,2024-04-30 13:54:40
457,1291,5,394,2025-04-01 19:52:08
127,462,9,60,2024-04-16 23:48:57
61,115,7,144,2024-06-02 14:28:49
561,726,5,148,2024-09-05 23:59:00
258,965,3,398,2024-10-14 05:22:52
760,519,7,186,2025-01-18 17:13:11
396,648,6,393,2024-05-15 02:48:52
275,675,2,232,2025-02-03 15:56:03
64,1022,10,37,2024-11-23 23:59:00
446,1038,7,327,2024-05-21 11:26:49
170,648,6,393,2025-03-26 18:33:55
51,1016,6,21,2024-12-28 22:02:13
553,1199,2,185,2024-08-26 11:49:08
312,291,8,184,2025-03-16 06:14:13
161,1324,8,193,2024-10-27 07:27:53
116,314,6,155,2025-01-17 22:54:21
125,917,9,37,2024-07-22 09:07:46
105,1333,9,175,2024-10-04 09:52:24
118,608,5,41,2024-07-16 09:13:10
28,565,7,43,2025-01-20 05:42:30
9,1036,8,36,2024-08-05 14:45:36
80,1040,10,131,2025-03-07 15:31:45
286,1314,10,373,2025-01-06 15:41:15
14,915,7,371,2024-05-17 13:26:32
342,1269,7,265,2024-06-03 17:06:01
408,655,2,132,2024-08-18 23:59:00
261,125,10,166,2024-09-05 09:01:23
59,320,8,313,2024-11-03 23:21:54
108,802,4,188,2024-06-24 10:31:59
286,909,10,143,2024-08-11 03:31:46
152,209,4,62,2024-06-28 18:38:34
193,502,10,16,2025-03-16 03:42:22
11,819,8,78,2024-08-26 23:31:52
201,720,2,314,2024-08-04 19:40:46
292,59,6,288,2024-11-15 04:43:21
300,1090,3,37,2024-05-09 18:16:28
715,463,9,60,2024-09-08 15:43:32
297,803,4,188,2024-12-28 14:32:25
82,1004,9,266,2024-12-11 07:57:18
72,1297,6,240,2025-03-19 14:10:23
650,442,4,288,2025-01-11 16:30:26
791,406,2,361,2025-02-26 14:26:38
48,740,5,100,2025-03-19 17:36:15
15,625,5,254,2025-03-23 05:34:27
220,1308,4,14,2025-03-22 13:26:23
517,738,5,100,2024-12-27 12:53:21
366,1301,4,168,2024-12-10 13:33:10
469,826,4,399,2025-02-20 21:50:43
167,995,6,383,2024-09-29 18:06:56
214,840,10,41,2025-02-26 15:50:28
716,781,3,148,2024-07-26 23:59:00
389,1419,6,184,2024-05-15 22:47:59
140,1041,9,299,2024-06-14 18:46:39
667,1368,4,321,2024-09-08 14:29:13
411,1477,2,354,2024-07-08 18:23:26
699,341,5,35,2024-11-02 07:01:43
786,801,7,375,2024-09-19 04:33:21
23,567,2,171,2024-11-26 23:07:34
757,985,10,100,2024-05-27 18:08:29
122,325,7,346,2025-03-11 14:55:11
371,694,2,168,2024-07-13 20:56:11
28,144,5,379,2024-07-20 06:27:43
91,1042,9,299,2024-08-27 17:05:45
112,1034,8,36,2024-10-31 09:42:53
360,403,9,90,2024-11-12 18:51:23
239,740,5,100,2025-02-07 17:51:55
322,228,2,134,2024-05-16 22:45:46
28,1082,4,237,2024-04-16 05:30:36
282,1345,3,337,2024-12-07 05:56:44
251,730,4,53,2024-05-29 10:13:59
54,1136,9,372,2024-07-02 10:54:28
320,104,8,178,2024-07-18 12:31:55
321,210,10,50,2024-12-10 16:07:58
690,1462,6,176,2024-09-16 09:37:36
138,143,5,379,2024-07-28 19:49:10
571,989,9,264,2025-02-06 19:11:03
329,373,7,293,2024-04-20 22:48:27
190,275,2,14,2024-09-02 23:57:17
358,1330,6,348,2024-04-04 08:42:02
66,833,9,327,2024-11-07 05:58:09
190,787,2,387,2024-08-08 06:31:44
8,1406,8,92,2024-12-16 15:23:31
53,582,2,338,2024-04-24 06:13:17
270,309,6,352,2024-04-03 06:10:40
52,1185,2,178,2024-12-25 05:19:54
109,477,4,163,2024-04-19 13:11:45
305,645,8,297,2025-01-19 14:35:02
82,678,6,202,2024-05-20 23:28:20
285,1282,9,284,2024-11-12 09:02:08
398,9,5,186,2025-03-23 23:59:00
375,666,8,271,2024-12-11 17:22:50
65,1018,6,21,2024-09-13 12:54:15
258,721,2,314,2024-10-27 09:01:33
246,1029,7,366,2025-02-17 23:59:00
375,1075,9,170,2025-02-17 09:56:45
222,1154,2,101,2025-03-06 09:39:16
160,1051,3,379,2025-01-18 08:11:37
658,902,1,307,2024-10-01 18:31:27
281,1128,10,356,2024-07-06 19:24:21
505,743,5,105,2024-12-12 23:59:00
306,573,1,270,2024-12-29 19:42:48
250,584,3,384,2024-10-20 12:25:56
288,1466,3,328,2024-05-21 08:55:22
349,398,5,90,2024-08-07 16:38:42
472,634,8,228,2024-09-03 04:01:36
153,328,5,279,2024-08-29 21:14:52
707,639,4,259,2024-04-08 09:26:00
644,49,5,288,2024-08-20 06:32:11
487,1333,9,175,2024-10-06 02:22:07
275,111,6,397,2024-06-28 23:59:00
45,786,5,86,2024-11-23 04:38:40
747,397,6,340,2025-01-02 08:51:04
538,687,4,170,2024-05-23 08:10:54
19,1321,8,384,2025-02-12 03:05:27
792,1169,1,264,2025-03-15 14:26:34
333,960,7,351,2024-06-21 17:03:50
274,7,5,250,2025-01-17 12:03:19
504,435,10,329,2025-03-10 18:06:49
108,696,2,168,2024-09-11 17:32:13
387,776,6,300,2025-02-09 21:47:47
83,1118,2,317,2025-02-15 12:23:16
373,1255,8,382,2025-02-24 01:57:31
34,752,7,171,2024-11-03 04:17:27
342,1082,4,237,2024-11-30 06:44:39
189,467,5,189,2025-02-07 23:59:00
218,238,10,299,2025-03-16 05:54:01
64,1398,1,249,2024-05-23 22:46:45
347,282,8,350,2024-04-07 18:15:58
295,290,8,184,2024-12-31 17:58:37
368,340,8,380,2024-08-27 10:13:52
720,1248,9,10,2024-09-18 12:56:11
365,163,1,158,2024-05-04 12:21:57
641,1101,7,51,2025-02-11 14:45:43
354,657,8,157,2024-09-04 23:13:34
281,1466,3,328,2024-09-22 16:10:29
398,677,3,24,2025-02-12 13:01:21
41,545,7,198,2024-09-15 05:10:31
113,191,8,169,2024-08-14 11:21:21
560,683,10,321,2024-10-21 23:59:00
366,1055,3,177,2024-04-02 17:56:35
539,1108,8,115,2024-10-06 23:55:32
383,1479,10,68,2024-05-10 15:35:22
616,1016,6,21,2025-02-10 11:03:54
151,446,3,171,2025-03-15 08:53:05
786,1061,9,122,2024-11-11 23:51:20
245,587,10,312,2024-12-09 14:34:31
338,696,2,168,2024-11-08 21:10:10
101,835,8,322,2024-08-11 16:11:09
479,163,1,158,2025-02-08 19:08:23
161,613,9,156,2024-05-02 05:35:06
197,1049,1,49,2024-08-06 22:16:46
393,1033,6,271,2025-01-06 11:37:54
66,415,8,6,2024-04-21 04:06:15
279,1423,6,389,2025-02-22 14:22:55
41,1197,10,202,2025-02-04 21:35:53
753,416,8,6,2024-07-27 23:59:00
273,124,6,384,2024-06-11 09:00:42
308,203,2,107,2024-07-21 07:32:33
657,1122,3,215,2024-04-04 09:17:01
798,629,3,298,2025-02-25 04:03:08
653,17,8,105,2025-01-30 05:08:00
397,970,7,378,2025-03-03 15:05:53
585,830,3,192,2024-08-16 18:30:03
454,1342,2,6,2025-02-27 21:07:44
295,550,8,81,2024-09-18 13:06:05
331,422,5,95,2025-02-01 21:17:44
473,212,10,50,2024-12-06 07:26:35
714,985,10,100,2024-10-06 11:30:27
7,805,10,240,2024-05-09 04:28:26
261,620,10,27,2024-04-24 11:02:34
556,558,4,338,2024-10-27 23:59:00
103,666,8,271,2024-10-06 10:07:51
100,529,8,378,2024-08-30 15:45:58
33,1287,7,399,2025-01-13 05:55:59
165,189,8,169,2024-12-10 23:59:00
778,311,5,339,2024-05-06 06:24:31
277,875,4,257,2024-07-24 12:47:33
66,1072,6,272,2025-01-17 19:29:57
564,1290,5,394,2024-08-23 17:43:47
693,109,1,33,2025-03-29 04:29:55
364,429,7,231,2025-01-27 18:21:56
600,936,5,239,2025-01-23 09:14:30
73,422,5,95,2024-11-18 14:31:46
1,1122,3,215,2024-12-03 17:03:54
266,987,9,79,2024-07-31 13:58:41
378,891,10,204,2024-12-30 19:09:30
319,660,4,376,2025-02-04 16:38:24
340,230,7,316,2024-11-14 23:59:00
36,377,5,214,2024-11-07 18:39:23
243,426,10,208,2024-07-09 11:03:54
339,937,7,64,2024-07-28 13:31:40
362,910,10,143,2024-06-11 22:33:12
212,1094,6,143,2024-12-31 05:50:24
772,663,10,149,2025-02-16 15:51:36
750,601,8,305,2024-10-23 23:59:00
679,136,2,32,2024-08-04 09:24:30
114,107,9,177,2025-01-19 06:43:14
444,652,9,72,2024-05-27 21:10:56
142,14,8,310,2024-05-14 23:59:00
88,353,6,297,2024-06-19 18:10:46
131,741,1,334,2024-12-21 16:14:35
680,1209,7,159,2025-03-10 19:08:03
91,433,2,393,2024-07-29 23:59:00
599,1181,8,388,2024-09-19 21:09:23
291,784,5,86,2025-01-09 12:34:14
552,43,9,61,2025-03-22 17:57:03
77,1003,9,266,2024-07-14 04:09:14
29,1006,8,301,2024-05-09 02:30:49
66,305,5,192,2024-04-15 05:17:42
1,1108,8,115,2025-03-15 16:08:30
265,1132,8,125,2024-08-17 11:27:38
63,771,2,321,2024-10-16 13:36:58
607,972,8,72,2025-02-01 06:30:13
179,1251,6,373,2024-11-01 08:23:50
201,615,9,156,2025-03-04 22:56:10
150,1366,4,223,2025-02-13 15:53:52
248,467,5,189,2024-06-15 11:43:38
489,81,3,282,2024-04-05 06:18:51
702,1274,5,164,2025-03-13 20:15:05
782,1382,4,262,2024-10-24 23:39:58
484,477,4,163,2025-04-01 09:15:50
1,1103,4,234,2024-11-27 16:43:40
668,690,7,216,2025-01-06 19:08:50
651,863,7,109,2024-06-14 00:43:53
753,1132,8,125,2024-05-02 12:39:25
134,613,9,156,2025-02-08 21:28:54
254,673,2,232,2025-02-01 19:55:46
324,858,9,188,2024-09-23 23:59:00
77,997,4,320,2024-09-22 13:36:53
362,151,5,392,2024-06-08 03:43:04
218,306,5,192,2024-09-08 18:55:12
272,1012,4,375,2025-01-07 14:21:51
188,728,4,53,2024-08-10 23:59:00
60,935,5,239,2024-11-13 23:39:23
59,248,1,152,2024-10-26 23:59:00
630,259,9,202,2025-02-21 08:48:50
682,336,6,311,2024-07-16 10:38:45
336,591,1,324,2024-07-04 22:48:16
396,314,6,155,2025-02-23 10:11:42
251,1390,7,289,2024-12-10 12:38:34
519,810,3,119,2024-06-03 14:04:29
615,352,4,58,2024-12-24 04:55:49
487,146,10,118,2024-07-07 09:38:48
59,21,3,67,2024-07-27 22:21:44
427,212,10,50,2024-09-20 20:13:35
78,1261,7,182,2024-09-23 20:15:11
193,1372,6,23,2024-06-19 20:30:31
652,348,7,370,2024-08-22 23:59:00
65,73,8,394,2024-10-02 12:36:02
584,747,1,128,2025-03-01 13:59:18
164,1156,8,67,2025-01-14 06:20:47
309,353,6,297,2025-03-22 14:54:53
445,710,1,224,2024-05-03 19:58:18
416,985,10,100,2025-01-29 19:07:37
339,1174,5,102,2024-05-16 13:41:59
767,482,5,55,2025-02-04 09:44:13
575,1032,6,271,2025-03-22 19:41:47
314,906,2,239,2025-04-03 08:21:21
476,643,1,210,2025-02-17 07:41:02
339,195,5,371,2024-04-17 20:25:42
530,1216,5,47,2024-11-01 23:54:34
162,1139,9,189,2025-03-15 07:05:22
554,765,6,55,2024-05-29 14:10:17
340,522,8,97,2025-02-13 10:45:45
128,45,2,122,2024-05-06 12:43:13
279,1371,9,262,2024-04-30 19:51:36
43,476,4,163,2025-03-29 18:50:05
384,1164,7,391,2024-11-27 15:49:41
164,508,3,226,2024-11-09 23:38:44
766,17,8,105,2024-11-06 23:36:39
35,535,5,312,2024-07-01 15:03:46
211,220,5,224,2024-10-04 01:26:05
333,113,7,144,2024-10-11 11:51:25
464,365,6,76,2024-09-25 13:14:44
300,1483,4,123,2025-03-14 00:50:22
7,1002,9,266,2025-03-08 04:23:33
136,191,8,169,2024-09-24 16:09:59
717,852,1,2,2024-05-23 08:43:16
608,945,4,184,2024-06-26 23:59:00
43,1072,6,272,2024-10-30 21:53:26
213,835,8,322,2024-07-29 21:41:06
9,229,2,134,2025-03-05 19:49:32
421,1433,7,44,2024-11-30 04:21:29
457,793,1,139,2025-01-12 23:59:00
64,1011,10,315,2024-10-13 08:35:41
157,259,9,202,2024-08-21 07:35:47
107,272,2,244,2024-08-22 18:07:50
290,1111,2,320,2024-12-07 12:11:43
332,1085,6,187,2024-05-30 10:07:11
660,271,8,324,2024-12-18 11:11:22
616,731,1,235,2024-08-09 06:40:36
174,334,6,1,2025-03-03 19:18:48
604,1141,8,140,2024-12-26 23:59:00
314,716,6,350,2024-07-21 04:21:37
208,707,1,29,2025-02-03 22:43:48
310,836,8,322,2025-03-14 07:47:51
199,675,2,232,2024-10-08 02:43:26
373,1264,6,178,2025-02-21 17:44:38
75,100,1,242,2024-04-29 02:51:07
264,164,8,248,2024-06-04 23:59:00
157,634,8,228,2024-08-01 05:08:12
664,220,5,224,2024-10-04 15:27:06
51,113,7,144,2024-04-26 06:48:55
145,216,5,353,2024-06-01 19:08:27
371,1438,1,184,2025-01-04 15:47:08
346,742,1,334,2024-07-25 23:37:29
423,216,5,353,2024-08-23 17:21:06
679,1470,6,341,2024-06-22 17:01:51
322,243,10,246,2024-09-04 23:59:00
20,333,6,1,2025-02-05 06:34:30
153,1252,6,373,2024-06-10 16:09:15
94,83,4,292,2024-12-04 06:14:00
228,674,2,232,2024-10-02 15:11:36
731,934,9,117,2024-10-27 23:59:00
627,126,10,166,2024-12-08 23:59:00
135,625,5,254,2025-02-02 20:37:41
549,40,3,251,2024-11-05 23:36:29
91,250,1,152,2024-09-08 09:43:51
153,1466,3,328,2024-10-12 16:55:35
307,558,4,338,2024-11-26 13:06:12
299,914,10,191,2024-05-24 18:14:13
140,1043,9,299,2024-06-01 21:58:33
587,1200,2,389,2024-09-24 22:43:27
431,428,6,379,2024-04-22 04:31:38
48,679,6,202,2024-10-10 23:03:58
369,1075,9,170,2024-10-05 23:59:00
780,791,2,163,2024-04-24 12:50:14
342,1313,10,255,2024-09-05 22:49:31
714,1088,7,120,2024-04-29 23:59:00
100,825,4,399,2025-02-26 11:25:24
294,127,10,166,2024-06-16 21:33:33
322,304,2,353,2024-06-26 18:19:08
120,868,9,48,2024-12-12 18:43:10
661,326,7,346,2024-09-06 07:09:16
132,882,10,101,2024-06-09 02:37:45
476,1451,7,336,2024-04-11 05:31:57
61,353,6,297,2024-08-19 05:19:10
240,130,6,48,2024-07-13 05:32:32
198,573,1,270,2024-09-01 18:14:35
97,120,1,239,2024-10-19 03:58:46
286,1484,4,123,2025-01-02 23:59:00
626,1280,3,139,2024-07-20 06:14:01
358,715,1,7,2024-12-21 21:55:27
284,546,7,198,2025-02-11 06:59:00
138,719,5,266,2024-05-10 23:59:00
693,1321,8,384,2024-07-18 11:13:47
709,875,4,257,2025-01-31 12:37:29
502,475,5,144,2024-05-02 13:36:18
172,1311,1,262,2024-07-02 08:39:20
154,345,5,299,2025-01-27 23:59:00
270,1173,5,102,2024-12-26 07:50:37
613,1053,1,178,2025-01-11 19:03:45
250,1258,8,23,2025-03-21 22:20:22
167,1092,9,241,2024-05-03 05:39:11
74,993,1,320,2024-12-04 21:47:19
433,924,7,77,2024-06-10 18:11:46
449,1336,2,93,2025-03-01 06:24:27
15,874,4,257,2024-09-20 19:00:14
86,486,3,157,2025-04-01 16:32:19
310,1202,2,389,2024-04-10 17:54:14
344,507,10,355,2024-12-12 14:51:18
265,1464,6,176,2024-12-19 23:46:31
481,12,4,284,2024-08-17 23:59:00
629,1416,3,399,2025-01-09 18:39:35
737,1003,9,266,2024-11-18 22:12:08
624,654,9,72,2024-05-29 22:22:13
276,338,6,311,2025-03-20 21:00:31
317,27,1,105,2024-07-30 09:56:42
240,935,5,239,2024-10-26 04:04:08
158,1090,3,37,2024-07-20 18:51:37
674,296,5,328,2024-06-24 07:44:43
529,419,3,287,2024-09-20 23:12:03
130,228,2,134,2024-09-27 19:46:37
37,513,6,78,2025-04-03 09:22:45
617,1121,3,215,2024-11-05 16:09:31
230,927,7,330,2024-09-14 16:01:33
22,991,1,320,2024-08-03 23:59:00
393,1447,8,189,2024-11-18 19:15:56
767,7,5,250,2024-12-02 23:04:09
390,814,4,137,2024-06-08 08:56:22
444,532,10,222,2025-01-17 12:06:02
367,1090,3,37,2024-11-16 23:59:00
313,335,6,1,2024-11-27 20:12:18
552,114,7,144,2024-05-09 23:59:00
51,790,2,163,2024-12-14 23:59:00
51,1239,10,32,2024-09-18 16:51:41
193,425,10,208,2024-05-14 23:59:00
638,36,10,308,2024-05-15 05:35:35
385,18,8,194,2024-06-11 01:35:39
205,89,5,44,2024-07-18 13:50:20
798,1159,4,135,2024-07-29 14:21:34
499,1303,2,87,2024-07-02 23:38:14
350,1376,1,256,2024-09-29 15:11:35
783,734,7,1,2024-10-10 19:19:56
707,582,2,338,2024-04-16 05:20:58
100,1456,6,285,2024-05-03 21:13:28
158,830,3,192,2025-03-23 14:44:30
367,1423,6,389,2024-11-11 17:44:27
768,804,10,240,2024-06-18 08:18:00
784,1337,2,93,2024-08-11 08:09:22
320,382,8,280,2024-08-13 02:53:42
593,576,7,213,2025-01-04 02:54:31
41,21,3,67,2024-09-21 13:13:54
244,155,6,279,2024-07-24 05:42:14
1,1312,10,255,2024-07-01 05:33:16
361,578,7,312,2024-08-29 05:07:30
771,623,8,102,2024-08-28 09:45:23
212,740,5,100,2024-10-05 08:39:47
41,462,9,60,2024-05-13 21:46:59
114,1350,7,329,2025-02-17 06:09:34
463,976,7,85,2024-07-21 18:54:40
510,106,9,177,2024-06-12 11:47:24
9,153,5,392,2024-11-17 15:19:27
534,452,7,221,2024-06-24 21:24:09
335,489,4,101,2025-01-25 23:52:24
114,762,8,287,2024-12-08 05:26:52
288,1385,10,122,2024-04-23 17:50:56
247,311,5,339,2024-07-24 06:27:04
632,746,1,128,2024-09-03 23:59:00
325,231,7,316,2024-12-27 05:59:35
764,884,5,212,2024-06-02 23:55:44
180,1207,10,309,2024-12-17 07:10:10
574,1298,6,240,2025-01-30 23:59:00
426,901,5,32,2024-10-28 23:21:51
276,773,2,321,2024-04-08 17:15:14
138,75,6,32,2024-12-20 05:13:47
104,1182,4,99,2024-12-10 06:57:46
84,1193,9,399,2024-12-31 07:51:34
96,364,6,76,2025-03-01 21:35:38
110,953,5,391,2025-03-10 02:55:41
492,977,4,2,2024-12-31 07:39:43
53,1016,6,21,2024-08-17 14:50:23
116,773,2,321,2024-09-24 06:16:04
115,602,2,204,2024-10-10 09:04:25
382,549,8,81,2025-02-15 04:55:25
218,770,9,62,2024-07-24 12:14:02
264,840,10,41,2025-02-08 14:35:55
203,454,8,375,2024-08-26 23:59:00
303,762,8,287,2024-12-01 18:05:20
377,1456,6,285,2024-04-23 16:02:17
657,160,1,212,2025-01-16 14:40:07
213,976,7,85,2024-07-05 17:25:45
2,1430,4,169,2024-09-17 10:04:23
477,1330,6,348,2025-01-21 08:55:52
182,516,6,363,2024-09-20 13:01:27
149,419,3,287,2024-08-17 19:28:14
383,146,10,118,2024-05-31 23:24:20
428,463,9,60,2024-11-11 13:33:35
162,1461,9,77,2024-11-01 23:59:00
444,567,2,171,2024-06-15 06:27:39
456,357,3,161,2024-12-27 23:59:00
288,502,10,16,2024-12-24 14:06:20
258,413,2,25,2024-10-19 23:59:00
184,1077,6,264,2025-03-18 11:52:34
349,523,8,97,2024-12-13 07:22:41
243,1327,7,382,2024-05-15 07:42:20
462,894,7,258,2024-09-29 13:38:06
246,445,3,357,2024-10-14 15:38:33
337,1451,7,336,2024-07-14 02:51:32
60,579,9,41,2024-05-19 22:28:44
258,85,3,248,2024-09-13 04:08:39
475,291,8,184,2024-06-09 11:29:16
606,682,10,321,2024-06-18 18:16:56
19,170,8,32,2024-08-29 19:49:40
222,1255,8,382,2024-04-29 19:40:28
336,696,2,168,2024-11-10 19:25:05
185,441,10,5,2024-08-25 16:03:38
193,949,3,386,2024-04-12 08:34:42
305,489,4,101,2024-12-17 23:59:00
22,415,8,6,2025-02-06 17:39:23
217,330,7,92,2025-01-25 08:30:52
210,1002,9,266,2024-06-04 18:46:38
202,161,1,212,2024-10-15 17:32:10
539,1199,2,185,2024-08-28 10:34:16
213,300,10,254,2025-03-24 20:15:44
354,81,3,282,2025-01-11 08:33:12
171,56,1,176,2024-11-02 05:58:45
764,460,2,48,2024-04-19 04:55:16
290,608,5,41,2024-06-15 11:49:41
316,1115,9,196,2024-06-29 23:34:23
198,1344,3,337,2024-12-21 07:18:57
417,111,6,397,2024-05-24 14:03:05
290,958,2,271,2024-05-08 20:57:36
12,414,2,25,2025-01-21 08:46:02
427,741,1,334,2024-05-13 04:03:56
690,103,8,178,2024-12-18 15:48:54
247,96,9,125,2025-03-10 12:03:34
141,525,8,155,2024-08-12 05:12:59
164,542,10,385,2024-08-20 19:39:21
319,1308,4,14,2024-05-06 13:01:57
256,123,6,384,2025-03-22 21:55:54
227,1036,8,36,2025-03-11 04:52:14
126,307,5,192,2024-11-01 23:11:23
35,1397,1,249,2025-02-14 22:30:26
360,203,2,107,2024-07-15 06:53:39
559,838,6,27,2024-07-11 10:26:32
427,199,3,60,2024-06-13 09:48:58
686,286,1,16,2024-05-15 14:28:58
242,1187,2,186,2024-05-31 05:09:21
718,1337,2,93,2024-05-12 07:54:13
16,947,3,386,2025-02-18 05:55:36
655,30,3,104,2024-05-30 02:16:33
362,438,7,278,2024-07-30 09:35:23
