deviceID,zoneID,gymID,deviceType
343,5,35,Gate Access
344,5,299,Fingerprint Scanner
345,5,299,Mobile App Scanner
346,5,299,Turnstile
347,7,370,Fingerprint Scanner
348,7,370,Facial Recognition
349,7,370,Gate Access
350,4,58,Turnstile
351,4,58,Turnstile
352,4,58,Barcode Scanner
353,6,297,NFC Reader
354,6,297,Turnstile
355,3,161,Mobile App Scanner
356,3,161,Mobile App Scanner
357,3,161,Mobile App Scanner
358,6,63,Facial Recognition
359,6,63,Facial Recognition
360,5,398,Keypad Access
361,5,398,QR Code Scanner
362,5,398,Barcode Scanner
363,6,76,Keypad Access
364,6,76,Turnstile
365,6,76,QR Code Scanner
366,1,14,Gate Access
367,1,14,Turnstile
368,1,14,QR Code Scanner
369,9,39,Turnstile
370,9,39,Card Reader
371,7,293,Mobile App Scanner
372,7,293,Barcode Scanner
373,7,293,Mobile App Scanner
374,5,196,Barcode Scanner
375,5,196,NFC Reader
376,5,214,Keypad Access
377,5,214,Keypad Access
378,5,214,Mobile App Scanner
379,8,318,Card Reader
380,8,318,NFC Reader
381,8,318,Keypad Access
382,8,280,QR Code Scanner
383,8,280,Keypad Access
384,8,280,Card Reader
385,1,45,Card Reader
386,1,45,Gate Access
387,1,45,Facial Recognition
388,5,173,Turnstile
389,5,173,Turnstile
390,5,173,Fingerprint Scanner
391,8,82,Card Reader
392,8,82,NFC Reader
393,8,82,QR Code Scanner
394,10,324,Fingerprint Scanner
395,10,324,Turnstile
396,6,340,Card Reader
397,6,340,NFC Reader
398,5,90,QR Code Scanner
399,5,90,Card Reader
400,4,93,Fingerprint Scanner
401,4,93,Gate Access
402,9,90,QR Code Scanner
403,9,90,NFC Reader
404,9,90,Mobile App Scanner
405,2,361,Mobile App Scanner
406,2,361,Keypad Access
407,2,361,Card Reader
408,2,39,Turnstile
409,2,39,Gate Access
410,3,389,Keypad Access
411,3,389,Turnstile
412,3,389,Facial Recognition
413,2,25,Turnstile
414,2,25,Card Reader
415,8,6,Card Reader
416,8,6,Fingerprint Scanner
417,8,6,Keypad Access
418,3,287,QR Code Scanner
419,3,287,Mobile App Scanner
420,3,287,Barcode Scanner
421,5,95,NFC Reader
422,5,95,Card Reader
423,7,140,Keypad Access
424,7,140,Card Reader
425,10,208,Barcode Scanner
426,10,208,Mobile App Scanner
427,6,379,Fingerprint Scanner
428,6,379,QR Code Scanner
429,7,231,Card Reader
430,7,231,QR Code Scanner
431,7,231,QR Code Scanner
432,2,393,QR Code Scanner
433,2,393,Gate Access
434,10,329,Mobile App Scanner
435,10,329,Barcode Scanner
436,10,329,QR Code Scanner
437,7,278,Barcode Scanner
438,7,278,Keypad Access
439,7,278,Barcode Scanner
440,10,5,QR Code Scanner
441,10,5,QR Code Scanner
442,4,288,QR Code Scanner
443,4,288,Card Reader
444,3,357,Facial Recognition
445,3,357,Facial Recognition
446,3,171,NFC Reader
447,3,171,QR Code Scanner
448,7,347,QR Code Scanner
449,7,347,Gate Access
450,1,160,Mobile App Scanner
451,1,160,Gate Access
452,7,221,Keypad Access
453,7,221,NFC Reader
454,8,375,Facial Recognition
455,8,375,Fingerprint Scanner
456,1,229,Facial Recognition
457,1,229,Turnstile
458,2,48,Fingerprint Scanner
459,2,48,Facial Recognition
460,2,48,Fingerprint Scanner
461,9,60,Gate Access
462,9,60,Barcode Scanner
463,9,60,Barcode Scanner
464,6,208,QR Code Scanner
465,6,208,NFC Reader
466,5,189,Card Reader
467,5,189,Gate Access
468,5,360,Keypad Access
469,5,360,Facial Recognition
470,10,52,Fingerprint Scanner
471,10,52,NFC Reader
472,7,196,Gate Access
473,7,196,Barcode Scanner
474,5,144,Mobile App Scanner
475,5,144,Turnstile
476,4,163,Fingerprint Scanner
477,4,163,Keypad Access
478,4,163,NFC Reader
479,7,105,Barcode Scanner
480,7,105,Fingerprint Scanner
481,5,55,NFC Reader
482,5,55,Gate Access
483,5,55,Gate Access
484,3,157,Gate Access
485,3,157,Barcode Scanner
486,3,157,Facial Recognition
487,4,146,Gate Access
488,4,146,QR Code Scanner
489,4,101,Gate Access
490,4,101,NFC Reader
491,3,102,Facial Recognition
492,3,102,Turnstile
493,3,206,QR Code Scanner
494,3,206,Turnstile
495,10,70,QR Code Scanner
496,10,70,Gate Access
497,10,70,Facial Recognition
498,2,83,Fingerprint Scanner
499,2,83,Gate Access
500,2,83,Keypad Access
501,10,16,Card Reader
502,10,16,Keypad Access
503,5,68,Turnstile
504,5,68,Mobile App Scanner
505,10,355,Turnstile
506,10,355,Fingerprint Scanner
507,10,355,Fingerprint Scanner
508,3,226,Card Reader
509,3,226,Facial Recognition
510,6,33,Card Reader
511,6,33,Turnstile
512,6,33,Turnstile
513,6,78,Turnstile
514,6,78,QR Code Scanner
515,6,363,Gate Access
516,6,363,Card Reader
517,8,127,NFC Reader
518,8,127,QR Code Scanner
519,7,186,NFC Reader
520,7,186,Gate Access
521,8,97,Facial Recognition
522,8,97,Fingerprint Scanner
523,8,97,Gate Access
524,8,155,Card Reader
525,8,155,Keypad Access
526,8,155,QR Code Scanner
527,8,378,Barcode Scanner
528,8,378,Keypad Access
529,8,378,QR Code Scanner
530,10,222,Turnstile
531,10,222,Facial Recognition
532,10,222,Turnstile
533,5,312,Turnstile
534,5,312,Mobile App Scanner
535,5,312,QR Code Scanner
536,3,75,Card Reader
537,3,75,Gate Access
538,9,184,Mobile App Scanner
539,9,184,Barcode Scanner
540,10,385,Keypad Access
541,10,385,Gate Access
542,10,385,Facial Recognition
543,5,167,NFC Reader
544,5,167,Card Reader
545,7,198,Facial Recognition
546,7,198,QR Code Scanner
547,1,104,Facial Recognition
548,1,104,Turnstile
549,8,81,QR Code Scanner
550,8,81,Mobile App Scanner
551,8,81,NFC Reader
552,2,34,Barcode Scanner
553,2,34,Facial Recognition
554,8,148,Gate Access
555,8,148,Barcode Scanner
556,4,338,Card Reader
557,4,338,Barcode Scanner
558,4,338,Mobile App Scanner
559,10,150,Fingerprint Scanner
560,10,150,Barcode Scanner
561,7,286,Keypad Access
562,7,286,Keypad Access
563,2,188,Mobile App Scanner
564,2,188,Keypad Access
565,7,43,Turnstile
566,7,43,Gate Access
567,2,171,Mobile App Scanner
568,2,171,NFC Reader
569,6,163,Turnstile
570,6,163,Keypad Access
571,6,163,Turnstile
572,1,270,NFC Reader
573,1,270,Fingerprint Scanner
574,7,213,Turnstile
575,7,213,Barcode Scanner
576,7,213,Mobile App Scanner
577,7,312,NFC Reader
578,7,312,Mobile App Scanner
579,9,41,Fingerprint Scanner
580,9,41,QR Code Scanner
581,2,338,Keypad Access
582,2,338,Fingerprint Scanner
583,2,338,Gate Access
584,3,384,Keypad Access
585,3,384,Facial Recognition
586,3,384,Card Reader
587,10,312,Fingerprint Scanner
588,10,312,Gate Access
589,10,312,Barcode Scanner
590,1,324,Fingerprint Scanner
591,1,324,Fingerprint Scanner
592,1,324,Barcode Scanner
593,3,242,Fingerprint Scanner
594,3,242,Facial Recognition
595,5,124,NFC Reader
596,5,124,Turnstile
597,1,197,Barcode Scanner
598,1,197,Card Reader
599,1,197,Keypad Access
600,8,305,QR Code Scanner
601,8,305,Card Reader
602,2,204,Barcode Scanner
603,2,204,Gate Access
604,5,387,QR Code Scanner
605,5,387,Turnstile
606,7,325,Keypad Access
607,7,325,Mobile App Scanner
608,5,41,QR Code Scanner
609,5,41,Facial Recognition
610,5,41,NFC Reader
611,1,228,Turnstile
612,1,228,Barcode Scanner
613,9,156,Turnstile
614,9,156,Mobile App Scanner
615,9,156,Keypad Access
616,9,334,Barcode Scanner
617,9,334,NFC Reader
618,9,334,QR Code Scanner
619,10,27,Mobile App Scanner
620,10,27,Turnstile
621,10,27,Card Reader
622,8,102,QR Code Scanner
623,8,102,NFC Reader
624,8,102,Turnstile
625,5,254,Card Reader
626,5,254,Barcode Scanner
627,5,254,Gate Access
628,3,298,NFC Reader
629,3,298,Fingerprint Scanner
630,9,240,Mobile App Scanner
631,9,240,Facial Recognition
632,9,240,Turnstile
633,8,228,Mobile App Scanner
634,8,228,Fingerprint Scanner
635,8,228,Turnstile
636,9,66,Gate Access
637,9,66,Card Reader
638,9,66,Keypad Access
639,4,259,Fingerprint Scanner
640,4,259,Gate Access
641,4,259,QR Code Scanner
642,1,210,Barcode Scanner
643,1,210,Barcode Scanner
644,1,210,QR Code Scanner
645,8,297,Card Reader
646,8,297,Gate Access
647,8,297,Fingerprint Scanner
648,6,393,Mobile App Scanner
649,6,393,QR Code Scanner
650,3,272,Fingerprint Scanner
651,3,272,QR Code Scanner
652,9,72,NFC Reader
653,9,72,Gate Access
654,9,72,QR Code Scanner
655,2,132,Mobile App Scanner
656,2,132,Card Reader
657,8,157,Card Reader
658,8,157,QR Code Scanner
659,8,157,Keypad Access
660,4,376,Card Reader
661,4,376,Keypad Access
662,4,376,Mobile App Scanner
663,10,149,QR Code Scanner
664,10,149,Card Reader
665,10,149,QR Code Scanner
666,8,271,Barcode Scanner
667,8,271,Fingerprint Scanner
668,8,271,Turnstile
669,8,187,Turnstile
670,8,187,Card Reader
671,8,366,Card Reader
672,8,366,QR Code Scanner
673,2,232,Turnstile
674,2,232,Mobile App Scanner
675,2,232,Mobile App Scanner
676,3,24,NFC Reader
677,3,24,Card Reader
678,6,202,QR Code Scanner
679,6,202,Fingerprint Scanner
680,6,202,Mobile App Scanner
681,10,321,Mobile App Scanner
682,10,321,Barcode Scanner
683,10,321,Keypad Access
684,4,238,Fingerprint Scanner
685,4,238,Facial Recognition
686,4,170,Turnstile
687,4,170,Card Reader
688,3,221,Keypad Access
689,3,221,Barcode Scanner
690,7,216,Mobile App Scanner
691,7,216,Card Reader
692,8,38,Turnstile
693,8,38,Fingerprint Scanner
694,2,168,NFC Reader
695,2,168,QR Code Scanner
696,2,168,Mobile App Scanner
697,5,253,Card Reader
698,5,253,QR Code Scanner
699,7,26,QR Code Scanner
700,7,26,Facial Recognition
701,7,26,Facial Recognition
702,7,376,QR Code Scanner
703,7,376,Facial Recognition
704,7,376,Keypad Access
705,1,29,Card Reader
706,1,29,Turnstile
707,1,29,Fingerprint Scanner
708,10,388,Barcode Scanner
709,10,388,Facial Recognition
710,1,224,Barcode Scanner
711,1,224,Fingerprint Scanner
712,4,339,Facial Recognition
713,4,339,Gate Access
714,1,7,Facial Recognition
715,1,7,Barcode Scanner
716,6,350,Keypad Access
717,6,350,Fingerprint Scanner
718,5,266,Turnstile
719,5,266,Keypad Access
720,2,314,QR Code Scanner
721,2,314,Barcode Scanner
722,2,314,Fingerprint Scanner
723,5,34,Gate Access
724,5,34,Mobile App Scanner
725,5,148,Mobile App Scanner
726,5,148,QR Code Scanner
727,5,148,Facial Recognition
728,4,53,Facial Recognition
729,4,53,NFC Reader
730,4,53,NFC Reader
731,1,235,Mobile App Scanner
732,1,235,QR Code Scanner
733,1,235,NFC Reader
734,7,1,Fingerprint Scanner
735,7,1,Keypad Access
736,10,392,Keypad Access
737,10,392,Mobile App Scanner
738,5,100,QR Code Scanner
739,5,100,Facial Recognition
740,5,100,Fingerprint Scanner
741,1,334,Turnstile
742,1,334,Keypad Access
743,5,105,Mobile App Scanner
744,5,105,Facial Recognition
745,5,105,Fingerprint Scanner
746,1,128,QR Code Scanner
747,1,128,Barcode Scanner
748,3,33,Keypad Access
749,3,33,Mobile App Scanner
750,7,171,Mobile App Scanner
751,7,171,QR Code Scanner
752,7,171,Fingerprint Scanner
753,8,238,Gate Access
754,8,238,Turnstile
755,8,238,Fingerprint Scanner
756,1,251,Keypad Access
757,1,251,QR Code Scanner
758,1,251,Mobile App Scanner
759,10,247,Keypad Access
760,10,247,Card Reader
761,10,247,NFC Reader
762,8,287,Facial Recognition
763,8,287,Facial Recognition
764,8,287,Gate Access
765,6,55,Keypad Access
766,6,55,Card Reader
767,1,203,QR Code Scanner
768,1,203,Fingerprint Scanner
769,9,62,Keypad Access
770,9,62,Gate Access
771,2,321,NFC Reader
772,2,321,Mobile App Scanner
773,2,321,Keypad Access
774,6,129,Keypad Access
775,6,129,Mobile App Scanner
776,6,300,Gate Access
777,6,300,Keypad Access
778,9,119,Fingerprint Scanner
779,9,119,Mobile App Scanner
780,3,148,Mobile App Scanner
781,3,148,Keypad Access
782,6,113,QR Code Scanner
783,6,113,QR Code Scanner
784,5,86,NFC Reader
785,5,86,NFC Reader
786,5,86,Mobile App Scanner
787,2,387,Mobile App Scanner
788,2,387,QR Code Scanner
789,2,387,Barcode Scanner
790,2,163,QR Code Scanner
791,2,163,Turnstile
792,1,139,NFC Reader
793,1,139,Mobile App Scanner
794,1,139,Gate Access
795,6,5,Barcode Scanner
796,6,5,Card Reader
797,6,5,NFC Reader
798,2,377,Fingerprint Scanner
799,2,377,QR Code Scanner
800,7,375,NFC Reader
801,7,375,Facial Recognition
802,4,188,Card Reader
803,4,188,Turnstile
804,10,240,QR Code Scanner
805,10,240,QR Code Scanner
806,7,86,Mobile App Scanner
807,7,86,Gate Access
808,7,86,Card Reader
809,3,119,Gate Access
810,3,119,QR Code Scanner
811,3,119,NFC Reader
812,4,137,Turnstile
813,4,137,Mobile App Scanner
814,4,137,Gate Access
815,8,328,Gate Access
816,8,328,Turnstile
817,8,328,Barcode Scanner
818,8,78,Facial Recognition
819,8,78,Turnstile
820,10,60,Keypad Access
821,10,60,Keypad Access
822,10,60,Turnstile
823,6,109,Keypad Access
824,6,109,Mobile App Scanner
825,4,399,Barcode Scanner
826,4,399,Mobile App Scanner
827,8,30,Turnstile
828,8,30,Keypad Access
829,3,192,Turnstile
830,3,192,Keypad Access
831,10,111,Card Reader
832,10,111,Barcode Scanner
833,9,327,Mobile App Scanner
834,9,327,Gate Access
835,8,322,Gate Access
836,8,322,NFC Reader
837,6,27,Turnstile
838,6,27,QR Code Scanner
839,10,41,Turnstile
840,10,41,Gate Access
841,10,41,Keypad Access
842,7,19,Gate Access
843,7,19,Card Reader
844,3,257,Turnstile
845,3,257,QR Code Scanner
846,9,203,Card Reader
847,9,203,NFC Reader
848,10,395,Gate Access
849,10,395,Mobile App Scanner
850,1,2,Facial Recognition
851,1,2,Barcode Scanner
852,1,2,Turnstile
853,2,54,Facial Recognition
854,2,54,NFC Reader
855,2,206,Barcode Scanner
856,2,206,Facial Recognition
857,9,188,Barcode Scanner
858,9,188,NFC Reader
859,3,178,Card Reader
860,3,178,Keypad Access
861,7,109,QR Code Scanner
862,7,109,Turnstile
863,7,109,Fingerprint Scanner
864,8,283,Keypad Access
865,8,283,QR Code Scanner
866,6,387,Gate Access
867,6,387,Card Reader
868,9,48,QR Code Scanner
869,9,48,Keypad Access
870,9,48,QR Code Scanner
871,6,115,Mobile App Scanner
872,6,115,Turnstile
873,6,115,Turnstile
874,4,257,Mobile App Scanner
875,4,257,Mobile App Scanner
876,4,257,Barcode Scanner
877,1,71,Mobile App Scanner
878,1,71,Card Reader
879,1,71,Barcode Scanner
880,7,12,Fingerprint Scanner
881,7,12,Mobile App Scanner
882,10,101,Gate Access
883,10,101,Mobile App Scanner
884,5,212,Mobile App Scanner
885,5,212,QR Code Scanner
886,5,212,Fingerprint Scanner
887,3,364,Keypad Access
888,3,364,Gate Access
889,10,204,QR Code Scanner
890,10,204,QR Code Scanner
891,10,204,NFC Reader
892,7,258,Fingerprint Scanner
893,7,258,Turnstile
894,7,258,Gate Access
895,7,96,Fingerprint Scanner
896,7,96,NFC Reader
897,8,62,Keypad Access
898,8,62,Turnstile
899,5,32,Mobile App Scanner
900,5,32,Facial Recognition
901,5,32,Turnstile
902,1,307,Gate Access
903,1,307,Keypad Access
904,2,239,Turnstile
905,2,239,Gate Access
906,2,239,Facial Recognition
907,1,79,Barcode Scanner
908,1,79,Facial Recognition
909,10,143,Card Reader
910,10,143,Fingerprint Scanner
911,10,143,Keypad Access
912,10,191,QR Code Scanner
913,10,191,Keypad Access
914,10,191,Card Reader
915,7,371,Barcode Scanner
916,7,371,Turnstile
917,9,37,NFC Reader
918,9,37,Turnstile
919,9,37,Barcode Scanner
920,1,24,Facial Recognition
921,1,24,NFC Reader
922,7,77,NFC Reader
923,7,77,Barcode Scanner
924,7,77,Keypad Access
925,7,330,NFC Reader
926,7,330,Gate Access
927,7,330,NFC Reader
928,6,203,Keypad Access
929,6,203,Keypad Access
930,6,203,NFC Reader
931,8,204,NFC Reader
932,8,204,Barcode Scanner
933,9,117,Keypad Access
934,9,117,QR Code Scanner
935,5,239,Turnstile
936,5,239,Mobile App Scanner
937,7,64,Fingerprint Scanner
938,7,64,NFC Reader
939,7,64,NFC Reader
940,9,243,Barcode Scanner
941,9,243,Facial Recognition
942,1,170,Card Reader
943,1,170,Turnstile
944,1,170,Mobile App Scanner
945,4,184,Turnstile
946,4,184,Barcode Scanner
947,3,386,QR Code Scanner
948,3,386,Keypad Access
949,3,386,Gate Access
950,10,316,QR Code Scanner
951,10,316,Card Reader
952,5,391,Keypad Access
953,5,391,NFC Reader
954,5,391,Card Reader
955,10,359,Facial Recognition
956,10,359,Barcode Scanner
957,2,271,QR Code Scanner
958,2,271,Fingerprint Scanner
959,7,351,Turnstile
960,7,351,Keypad Access
961,4,82,Facial Recognition
962,4,82,Keypad Access
963,5,28,Facial Recognition
964,5,28,Turnstile
965,3,398,Facial Recognition
966,3,398,Barcode Scanner
967,3,398,Turnstile
968,7,378,Mobile App Scanner
969,7,378,NFC Reader
970,7,378,Barcode Scanner
971,8,72,NFC Reader
972,8,72,Barcode Scanner
973,8,72,Facial Recognition
974,7,85,Mobile App Scanner
975,7,85,Keypad Access
976,7,85,Card Reader
977,4,2,Turnstile
978,4,2,Mobile App Scanner
979,5,295,Mobile App Scanner
980,5,295,Card Reader
981,10,54,Fingerprint Scanner
982,10,54,Keypad Access
983,10,100,Fingerprint Scanner
984,10,100,Fingerprint Scanner
985,10,100,Keypad Access
986,9,79,Facial Recognition
987,9,79,QR Code Scanner
988,9,264,Keypad Access
989,9,264,Fingerprint Scanner
990,9,264,Mobile App Scanner
991,1,320,Turnstile
992,1,320,Facial Recognition
993,1,320,Turnstile
994,6,383,Turnstile
995,6,383,NFC Reader
996,4,320,Turnstile
997,4,320,Fingerprint Scanner
998,4,320,Keypad Access
999,3,238,QR Code Scanner
1000,3,238,Barcode Scanner
1001,3,238,Fingerprint Scanner
1002,9,266,QR Code Scanner
1003,9,266,Card Reader
1004,9,266,QR Code Scanner
1005,8,301,Barcode Scanner
